vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 12:00:00 UTC,2016-06-15 12:16:02 UTC,1,1.6,-73.98126220703125,40.781166076660156,1,N,-73.997001647949219,40.762615203857422,1,11.0,0.0,0.5,2.35,0.0,0.3,14.15
1,2016-06-15 12:00:00 UTC,2016-06-15 12:06:06 UTC,1,0.6,-73.981773376464844,40.752586364746094,1,N,-73.990707397460938,40.750778198242188,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 12:00:00 UTC,2016-06-15 12:14:11 UTC,1,1.6,-73.97479248046875,40.751613616943359,1,N,-73.958511352539062,40.764167785644531,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
1,2016-06-15 12:00:00 UTC,2016-06-15 12:11:38 UTC,1,1.1,-73.978164672851562,40.783153533935547,1,N,-73.965438842773438,40.774765014648438,1,9.0,0.0,0.5,1.2,0.0,0.3,11.0
2,2016-06-15 12:00:00 UTC,2016-06-15 12:10:16 UTC,1,1.39,-73.968803405761719,40.754550933837891,1,N,-73.984161376953125,40.74713134765625,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-06-15 12:00:00 UTC,2016-06-15 12:29:52 UTC,1,0.88,-73.973556518554688,40.763591766357422,1,N,-73.984832763671875,40.760791778564453,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
1,2016-06-15 12:00:00 UTC,2016-06-15 12:54:24 UTC,2,18.7,-73.970146179199219,40.796581268310547,1,N,-73.928657531738281,40.707637786865234,1,57.5,0.0,0.5,14.0,5.54,0.3,77.84
2,2016-06-15 12:00:00 UTC,2016-06-15 12:28:49 UTC,2,1.97,-73.991981506347656,40.754352569580078,1,N,-73.96929931640625,40.763301849365234,1,17.5,0.0,0.5,1.0,0.0,0.3,19.3
1,2016-06-15 12:00:01 UTC,2016-06-15 12:08:03 UTC,2,1.1,-73.979660034179688,40.738956451416016,1,N,-73.98455810546875,40.727336883544922,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
1,2016-06-15 12:00:01 UTC,2016-06-15 12:10:26 UTC,2,1.0,-73.9876708984375,40.749431610107422,1,N,-73.989212036132812,40.742141723632812,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
1,2016-06-15 12:00:01 UTC,2016-06-15 12:21:59 UTC,1,1.6,-73.967010498046875,40.767627716064453,1,N,-73.982704162597656,40.748653411865234,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,2016-06-15 12:00:01 UTC,2016-06-15 12:20:15 UTC,2,1.91,-73.9684829711914,40.78656005859375,1,N,-73.959800720214844,40.770809173583984,2,13.5,0.0,0.5,0.0,0.0,0.3,14.3
1,2016-06-15 12:00:01 UTC,2016-06-15 12:06:54 UTC,1,1.0,-73.991470336914062,40.758186340332031,1,N,-73.987922668457031,40.769725799560547,1,6.5,0.0,0.5,1.5,0.0,0.3,8.8
1,2016-06-15 12:00:01 UTC,2016-06-15 12:17:25 UTC,1,1.9,-73.966171264648438,40.756366729736328,1,N,-73.980262756347656,40.773090362548828,1,12.0,0.0,0.5,2.55,0.0,0.3,15.35
2,2016-06-15 12:00:02 UTC,2016-06-15 12:25:13 UTC,1,2.79,-73.965408325195312,40.790748596191406,1,N,-73.957763671875,40.761878967285156,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
1,2016-06-15 12:00:02 UTC,2016-06-15 12:07:45 UTC,1,0.7,-73.9712142944336,40.766647338867188,1,N,-73.982109069824219,40.768226623535156,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
2,2016-06-15 12:00:02 UTC,2016-06-15 12:06:18 UTC,1,1.38,-73.943672180175781,40.752601623535156,1,N,-73.9472427368164,40.764350891113281,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
2,2016-06-15 12:00:02 UTC,2016-06-15 12:10:39 UTC,1,1.05,-73.979110717773438,40.755420684814453,1,N,-73.969329833984375,40.749099731445312,1,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 12:00:02 UTC,2016-06-15 12:13:02 UTC,3,1.15,-73.9727783203125,40.793449401855469,1,N,-73.981903076171875,40.778598785400391,1,9.5,0.0,0.5,1.0,0.0,0.3,11.3
1,2016-06-15 12:00:02 UTC,2016-06-15 12:25:53 UTC,1,2.6,-73.977912902832031,40.746173858642578,1,N,-73.955726623535156,40.779575347900391,1,17.0,0.0,0.5,3.0,0.0,0.3,20.8
2,2016-06-15 12:00:02 UTC,2016-06-15 12:06:36 UTC,6,1.37,-73.984306335449219,40.749080657958984,1,N,-73.996589660644531,40.731941223144531,1,7.0,0.0,0.5,2.0,0.0,0.3,9.8
2,2016-06-15 12:00:03 UTC,2016-06-15 12:27:43 UTC,1,2.26,-73.989059448242188,40.742168426513672,1,N,-73.980827331542969,40.7676887512207,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8
1,2016-06-15 12:00:03 UTC,2016-06-15 12:07:23 UTC,1,0.6,-73.970748901367188,40.766838073730469,1,N,-73.960533142089844,40.763069152832031,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
1,2016-06-15 12:00:03 UTC,2016-06-15 12:24:50 UTC,1,2.4,-73.953140258789062,40.76739501953125,1,N,-73.989326477050781,40.772701263427734,1,16.0,0.0,0.5,5.04,0.0,0.3,21.84
2,2016-06-15 12:00:03 UTC,2016-06-15 12:08:23 UTC,2,1.33,-73.981742858886719,40.766429901123047,1,N,-73.973663330078125,40.752971649169922,1,7.5,0.0,0.5,0.7,0.0,0.3,9.0
