vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 16:30:00 UTC,2016-06-15 16:45:26 UTC,1,1.2,-74.008987426757812,40.718578338623047,1,N,-73.992355346679688,40.719413757324219,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3
2,2016-06-15 16:30:00 UTC,2016-06-15 17:36:49 UTC,4,14.32,-73.790054321289062,40.647113800048828,1,N,-73.9991683959961,40.675609588623047,1,53.0,1.0,0.5,10.96,0.0,0.3,65.76
1,2016-06-15 16:30:00 UTC,2016-06-15 16:31:55 UTC,1,0.4,-73.981361389160156,40.747138977050781,1,N,-73.9848403930664,40.742343902587891,1,3.5,1.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 16:30:00 UTC,2016-06-15 16:36:23 UTC,1,0.8,-73.989776611328125,40.734153747558594,1,N,-73.9898452758789,40.725658416748047,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35
1,2016-06-15 16:30:00 UTC,2016-06-15 16:50:30 UTC,1,2.2,-73.993865966796875,40.751495361328125,1,N,-73.991683959960938,40.774196624755859,1,14.0,1.0,0.5,8.0,0.0,0.3,23.8
2,2016-06-15 16:30:01 UTC,2016-06-15 16:33:46 UTC,1,0.91,-73.966194152832031,40.794609069824219,1,N,-73.9754867553711,40.785308837890625,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8
1,2016-06-15 16:30:01 UTC,2016-06-15 16:38:28 UTC,1,1.0,-74.003097534179688,40.7231330871582,1,N,-73.991569519042969,40.735103607177734,1,7.0,1.0,0.5,1.75,0.0,0.3,10.55
2,2016-06-15 16:30:02 UTC,2016-06-15 16:49:48 UTC,5,4.17,-73.870811462402344,40.773719787597656,1,N,-73.823692321777344,40.765430450439453,2,17.5,1.0,0.5,0.0,0.0,0.3,19.3
2,2016-06-15 16:30:02 UTC,2016-06-15 16:36:18 UTC,1,0.61,-73.982597351074219,40.777256011962891,1,N,-73.979484558105469,40.784332275390625,1,5.5,1.0,0.5,1.46,0.0,0.3,8.76
2,2016-06-15 16:30:02 UTC,2016-06-15 16:45:25 UTC,1,1.75,-73.989486694335938,40.768146514892578,1,N,-73.965049743652344,40.769973754882812,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8
2,2016-06-15 16:30:03 UTC,2016-06-15 16:51:48 UTC,1,1.4,-73.953681945800781,40.7753791809082,1,N,-73.968460083007812,40.761459350585938,1,13.5,1.0,0.5,3.06,0.0,0.3,18.36
1,2016-06-15 16:30:03 UTC,2016-06-15 16:50:38 UTC,1,3.2,-73.959510803222656,40.808731079101562,1,N,-73.962814331054688,40.772415161132812,1,15.0,1.0,0.5,2.0,0.0,0.3,18.8
1,2016-06-15 16:30:03 UTC,2016-06-15 16:33:31 UTC,1,0.7,-73.862762451171875,40.769081115722656,1,N,-73.872238159179688,40.774307250976562,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 16:30:03 UTC,2016-06-15 17:15:07 UTC,2,14.8,-73.7822265625,40.644912719726562,1,N,-73.954673767089844,40.627597808837891,2,45.0,1.0,0.5,0.0,0.0,0.3,46.8
2,2016-06-15 16:30:04 UTC,2016-06-15 17:34:22 UTC,1,14.74,-73.789047241210938,40.641880035400391,1,N,-73.99615478515625,40.684165954589844,2,53.5,1.0,0.5,0.0,0.0,0.3,55.3
2,2016-06-15 16:30:04 UTC,2016-06-15 16:38:48 UTC,1,0.45,-73.980140686035156,40.764774322509766,1,N,-73.98388671875,40.760551452636719,1,7.0,1.0,0.5,1.76,0.0,0.3,10.56
1,2016-06-15 16:30:05 UTC,2016-06-15 17:07:23 UTC,2,2.7,-73.997001647949219,40.722503662109375,1,N,-73.9834213256836,40.756095886230469,2,22.5,1.0,0.5,0.0,0.0,0.3,24.3
2,2016-06-15 16:30:05 UTC,2016-06-15 16:30:11 UTC,2,0.0,0.0,0.0,5,N,0.0,0.0,1,400.0,0.0,0.0,0.0,0.0,0.3,400.3
1,2016-06-15 16:30:06 UTC,2016-06-15 16:54:11 UTC,1,1.5,-73.997520446777344,40.741451263427734,1,N,-73.9906234741211,40.758125305175781,1,15.0,1.0,0.5,5.0,0.0,0.3,21.8
2,2016-06-15 16:30:06 UTC,2016-06-15 16:49:40 UTC,1,1.02,-74.008979797363281,40.713554382324219,1,N,-73.999008178710938,40.722988128662109,1,12.5,1.0,0.5,2.0,0.0,0.3,16.3
2,2016-06-15 16:30:06 UTC,2016-06-15 16:42:27 UTC,2,1.88,-74.006927490234375,40.7288818359375,1,N,-73.990486145019531,40.745944976806641,1,10.0,1.0,0.5,1.0,0.0,0.3,12.8
2,2016-06-15 16:30:06 UTC,2016-06-15 16:44:07 UTC,1,2.23,-73.966339111328125,40.794399261474609,1,N,-73.957962036132812,40.808128356933594,2,10.0,1.0,0.5,0.0,0.0,0.3,11.8
1,2016-06-15 16:30:06 UTC,2016-06-15 17:04:34 UTC,1,6.6,-73.972015380859375,40.745731353759766,1,N,-73.968170166015625,40.694786071777344,1,28.0,1.0,0.5,3.0,0.0,0.3,32.8
1,2016-06-15 16:30:07 UTC,2016-06-15 16:40:51 UTC,1,0.8,-73.9828872680664,40.742027282714844,1,N,-73.978096008300781,40.751186370849609,1,8.0,1.0,0.5,2.9,0.0,0.3,12.7
1,2016-06-15 16:30:08 UTC,2016-06-15 16:46:41 UTC,1,3.5,-74.014808654785156,40.713470458984375,1,N,-74.0025634765625,40.7602653503418,1,14.5,1.0,0.5,3.25,0.0,0.3,19.55
2,2016-06-15 16:30:08 UTC,2016-06-15 16:47:18 UTC,1,2.04,-73.981285095214844,40.783843994140625,1,N,-73.95697021484375,40.770736694335938,1,12.5,1.0,0.5,2.86,0.0,0.3,17.16
2,2016-06-15 16:30:08 UTC,2016-06-15 16:37:47 UTC,1,1.03,-73.967666625976562,40.762710571289062,1,N,-73.984329223632812,40.769580841064453,1,7.0,1.0,0.5,1.0,0.0,0.3,9.8
2,2016-06-15 16:30:09 UTC,2016-06-15 16:37:38 UTC,1,1.37,-74.0061264038086,40.705860137939453,1,N,-74.013923645019531,40.713088989257812,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
1,2016-06-15 16:30:09 UTC,2016-06-15 17:14:03 UTC,1,8.3,-74.0101318359375,40.709590911865234,1,N,-73.893569946289062,40.748798370361328,1,33.0,1.0,0.5,3.0,0.0,0.3,37.8
2,2016-06-15 16:30:09 UTC,2016-06-15 16:47:39 UTC,2,2.0,-73.986534118652344,40.77178955078125,1,N,-73.957366943359375,40.766326904296875,1,12.5,1.0,0.5,2.0,0.0,0.3,16.3
2,2016-06-15 16:30:10 UTC,2016-06-15 16:57:03 UTC,5,3.75,-73.9790267944336,40.766769409179688,1,N,-74.0007553100586,40.723945617675781,2,18.5,1.0,0.5,0.0,0.0,0.3,20.3
1,2016-06-15 16:30:10 UTC,2016-06-15 17:54:06 UTC,1,14.1,-73.97900390625,40.757854461669922,1,N,-73.872978210449219,40.774284362792969,1,60.0,1.0,0.5,16.8,5.54,0.3,84.14
2,2016-06-15 16:30:10 UTC,2016-06-15 16:49:58 UTC,1,1.73,-73.962310791015625,40.779071807861328,1,N,-73.972953796386719,40.757369995117188,1,12.5,1.0,0.5,2.86,0.0,0.3,17.16
1,2016-06-15 16:30:10 UTC,2016-06-15 16:39:49 UTC,1,0.8,-73.992996215820312,40.733837127685547,1,N,-73.98394775390625,40.726783752441406,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
1,2016-06-15 16:30:10 UTC,2016-06-15 17:53:50 UTC,1,19.6,-73.780815124511719,40.648048400878906,2,N,-73.997589111328125,40.735919952392578,1,52.0,4.5,0.5,0.0,0.0,0.3,57.3
1,2016-06-15 16:30:10 UTC,2016-06-15 16:47:41 UTC,1,3.0,-73.986984252929688,40.751338958740234,1,N,-73.958503723144531,40.783256530761719,1,13.5,1.0,0.5,3.05,0.0,0.3,18.35
2,2016-06-15 16:30:11 UTC,2016-06-15 16:30:14 UTC,1,0.0,0.0,0.0,5,N,0.0,0.0,1,90.0,0.0,0.5,18.16,0.0,0.3,108.96
1,2016-06-15 16:30:11 UTC,2016-06-15 16:44:39 UTC,1,2.4,-73.979324340820312,40.755134582519531,1,N,-74.00787353515625,40.740585327148438,1,11.5,1.0,0.5,2.65,0.0,0.3,15.95
1,2016-06-15 16:30:11 UTC,2016-06-15 17:32:47 UTC,1,17.4,-73.779006958007812,40.647514343261719,2,N,-73.992393493652344,40.745334625244141,2,52.0,4.5,0.5,0.0,5.54,0.3,62.84
2,2016-06-15 16:30:12 UTC,2016-06-15 16:38:26 UTC,1,0.71,-73.954330444335938,40.774360656738281,1,N,-73.9549331665039,40.767318725585938,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 16:30:12 UTC,2016-06-15 17:37:12 UTC,1,17.43,-73.7821044921875,40.644927978515625,2,N,-73.966484069824219,40.753120422363281,2,52.0,4.5,0.5,0.0,5.54,0.3,62.84
2,2016-06-15 16:30:12 UTC,2016-06-15 16:56:29 UTC,2,2.2,-73.985603332519531,40.75994873046875,1,N,-73.960212707519531,40.775260925292969,1,17.0,1.0,0.5,3.76,0.0,0.3,22.56
2,2016-06-15 16:30:12 UTC,2016-06-15 16:58:04 UTC,5,1.35,-73.993606567382812,40.7420654296875,1,N,-73.989906311035156,40.7567253112793,1,16.5,1.0,0.5,0.0,0.0,0.3,18.3
