vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2016-06-15 19:00:00 UTC,2016-06-15 19:23:55 UTC,2,1.99,-73.97454833984375,40.751380920410156,1,N,-73.982223510742188,40.772041320800781,1,15.0,1.0,0.5,3.36,0.0,0.3,20.16
1,2016-06-15 19:00:00 UTC,2016-06-15 19:12:48 UTC,1,2.1,-73.971015930175781,40.752048492431641,1,N,-73.992233276367188,40.730731964111328,1,10.5,1.0,0.5,1.85,0.0,0.3,14.15
2,2016-06-15 19:00:00 UTC,2016-06-15 19:12:23 UTC,1,1.56,-73.977508544921875,40.774269104003906,1,N,-73.986053466796875,40.758319854736328,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
1,2016-06-15 19:00:00 UTC,2016-06-15 19:39:37 UTC,2,8.0,-74.011123657226562,40.715511322021484,1,N,-73.955863952636719,40.783905029296875,1,31.5,1.0,0.5,33.3,0.0,0.3,66.6
2,2016-06-15 19:00:00 UTC,2016-06-15 19:07:59 UTC,2,1.91,-73.8731689453125,40.773971557617188,1,N,-73.902580261230469,40.769142150878906,1,8.5,1.0,0.5,2.58,0.0,0.3,12.88
2,2016-06-15 19:00:00 UTC,2016-06-15 19:08:16 UTC,1,0.94,-73.987098693847656,40.768890380859375,1,N,-73.986167907714844,40.757930755615234,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 19:00:00 UTC,2016-06-15 19:06:24 UTC,1,0.84,-73.985389709472656,40.768531799316406,1,N,-73.995620727539062,40.764690399169922,1,6.0,1.0,0.5,2.0,0.0,0.3,9.8
1,2016-06-15 19:00:01 UTC,2016-06-15 19:06:07 UTC,1,0.6,-73.95672607421875,40.775115966796875,1,N,-73.946769714355469,40.772480010986328,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-15 19:00:01 UTC,2016-06-15 19:11:26 UTC,1,1.42,-73.9787826538086,40.783321380615234,1,N,-73.95751953125,40.774250030517578,1,9.0,1.0,0.5,2.16,0.0,0.3,12.96
2,2016-06-15 19:00:01 UTC,2016-06-15 19:02:49 UTC,1,0.49,-73.980239868164062,40.742778778076172,1,N,-73.976058959960938,40.748573303222656,1,4.0,1.0,0.5,1.0,0.0,0.3,6.8
1,2016-06-15 19:00:01 UTC,2016-06-15 19:09:40 UTC,1,1.0,-73.980667114257812,40.733840942382812,1,N,-73.978141784667969,40.745815277099609,1,8.0,1.0,0.5,1.95,0.0,0.3,11.75
1,2016-06-15 19:00:01 UTC,2016-06-15 19:19:48 UTC,2,1.9,-73.979087829589844,40.744106292724609,1,N,-73.961517333984375,40.766658782958984,1,13.5,1.0,0.5,3.05,0.0,0.3,18.35
2,2016-06-15 19:00:02 UTC,2016-06-15 19:52:55 UTC,1,21.53,-73.863807678222656,40.769607543945312,1,N,-73.951034545898438,40.5969352722168,1,62.5,1.0,0.5,0.0,0.0,0.3,64.3
2,2016-06-15 19:00:02 UTC,2016-06-15 19:16:40 UTC,1,2.36,-73.9876708984375,40.744602203369141,1,N,-74.0055160522461,40.715072631835938,1,12.5,1.0,0.5,2.86,0.0,0.3,17.16
2,2016-06-15 19:00:02 UTC,2016-06-15 19:10:11 UTC,1,1.33,-73.9873275756836,40.741771697998047,1,N,-73.972671508789062,40.744678497314453,1,8.5,1.0,0.5,2.58,0.0,0.3,12.88
