vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 15:00:00 UTC,2016-06-15 15:23:26 UTC,1,1.4,-73.973548889160156,40.737876892089844,1,N,-73.989730834960938,40.7507438659668,1,14.5,0.0,0.5,3.8,0.0,0.3,19.1
1,2016-06-15 15:00:00 UTC,2016-06-15 15:08:07 UTC,3,1.9,-73.956314086914062,40.775543212890625,1,N,-73.936965942382812,40.793746948242188,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
2,2016-06-15 15:00:00 UTC,2016-06-15 16:01:37 UTC,4,10.86,-73.971771240234375,40.757858276367188,1,N,-73.865570068359375,40.770851135253906,1,42.5,0.0,0.5,9.77,5.54,0.3,58.61
1,2016-06-15 15:00:00 UTC,2016-06-15 15:13:05 UTC,1,0.9,-74.006462097167969,40.739471435546875,1,N,-74.0018539428711,40.751049041748047,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
1,2016-06-15 15:00:00 UTC,2016-06-15 15:11:11 UTC,2,1.0,-73.981246948242188,40.744369506835938,1,N,-73.9942398071289,40.738964080810547,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,2016-06-15 15:00:01 UTC,2016-06-15 15:05:49 UTC,1,1.14,-73.989051818847656,40.721458435058594,1,N,-73.982856750488281,40.735431671142578,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
2,2016-06-15 15:00:01 UTC,2016-06-15 15:26:01 UTC,1,4.31,-73.964736938476562,40.764087677001953,1,N,-73.965751647949219,40.808986663818359,1,19.0,0.0,0.5,4.95,0.0,0.3,24.75
1,2016-06-15 15:00:01 UTC,2016-06-15 15:10:45 UTC,1,2.0,-73.958938598632812,40.7778434753418,1,N,-73.9388656616211,40.804702758789062,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
1,2016-06-15 15:00:01 UTC,2016-06-15 15:02:57 UTC,1,0.5,-73.973686218261719,40.784633636474609,1,N,-73.972663879394531,40.790672302246094,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2,2016-06-15 15:00:01 UTC,2016-06-15 15:03:42 UTC,1,0.82,-73.960693359375,40.778461456298828,1,N,-73.952262878417969,40.784038543701172,1,5.0,0.0,0.5,1.74,0.0,0.3,7.54
2,2016-06-15 15:00:02 UTC,2016-06-15 15:05:18 UTC,1,0.37,-73.9769287109375,40.758949279785156,2,N,-73.974700927734375,40.756149291992188,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
2,2016-06-15 15:00:02 UTC,2016-06-15 15:08:22 UTC,6,0.63,-73.982177734375,40.770492553710938,1,N,-73.982177734375,40.770492553710938,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
2,2016-06-15 15:00:02 UTC,2016-06-15 15:22:35 UTC,3,1.6,-73.9941177368164,40.751155853271484,1,N,-73.972938537597656,40.755046844482422,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
1,2016-06-15 15:00:02 UTC,2016-06-15 15:03:18 UTC,1,0.9,-73.953483581542969,40.767143249511719,1,N,-73.944671630859375,40.779323577880859,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2016-06-15 15:00:02 UTC,2016-06-15 15:10:50 UTC,1,0.93,-74.014801025390625,40.7094612121582,1,N,-74.012588500976562,40.70257568359375,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62
2,2016-06-15 15:00:02 UTC,2016-06-15 15:05:43 UTC,3,1.0,-73.956573486328125,40.771266937255859,1,N,-73.954315185546875,40.781364440917969,1,6.0,0.0,0.5,1.2,0.0,0.3,8.0
2,2016-06-15 15:00:02 UTC,2016-06-15 15:52:39 UTC,1,15.39,-73.874618530273438,40.773799896240234,1,N,-74.006942749023438,40.710201263427734,1,51.5,0.0,0.5,11.57,5.54,0.3,69.41
2,2016-06-15 15:00:02 UTC,2016-06-15 15:12:18 UTC,5,1.22,-73.977569580078125,40.756198883056641,1,N,-73.991523742675781,40.750068664550781,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,2016-06-15 15:00:02 UTC,2016-06-15 15:25:47 UTC,1,3.8,-73.945999145507812,40.780418395996094,1,N,-73.984619140625,40.7547492980957,1,18.0,0.0,0.5,4.7,0.0,0.3,23.5
1,2016-06-15 15:00:02 UTC,2016-06-15 15:14:53 UTC,4,1.5,-73.9731674194336,40.764308929443359,1,N,-73.990242004394531,40.751567840576172,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
1,2016-06-15 15:00:03 UTC,2016-06-15 15:10:34 UTC,1,1.5,-73.971961975097656,40.749961853027344,1,N,-73.988151550292969,40.737941741943359,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
1,2016-06-15 15:00:03 UTC,2016-06-15 15:22:51 UTC,1,2.1,-74.001426696777344,40.741207122802734,1,N,-73.975028991699219,40.750347137451172,1,15.0,0.0,0.5,3.15,0.0,0.3,18.95
2,2016-06-15 15:00:03 UTC,2016-06-15 15:24:05 UTC,5,1.42,-73.98248291015625,40.742645263671875,1,N,-73.971969604492188,40.754981994628906,1,14.5,0.0,0.5,3.06,0.0,0.3,18.36
1,2016-06-15 15:00:04 UTC,2016-06-15 15:05:44 UTC,1,0.6,-73.968536376953125,40.799263000488281,1,N,-73.96722412109375,40.806034088134766,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
1,2016-06-15 15:00:04 UTC,2016-06-15 15:09:30 UTC,1,1.4,-73.984016418457031,40.7600212097168,1,N,-73.992240905761719,40.742778778076172,1,8.0,0.0,0.5,2.0,0.0,0.3,10.8
1,2016-06-15 15:00:04 UTC,2016-06-15 15:09:21 UTC,1,1.4,-73.954795837402344,40.765239715576172,1,N,-73.944664001464844,40.783470153808594,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 15:00:04 UTC,2016-06-15 15:11:41 UTC,1,0.69,-73.965171813964844,40.7733268737793,1,N,-73.968681335449219,40.7657585144043,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
1,2016-06-15 15:00:04 UTC,2016-06-15 15:26:22 UTC,1,2.0,-74.004066467285156,40.718650817871094,1,N,-73.985282897949219,40.741653442382812,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8
2,2016-06-15 15:00:04 UTC,2016-06-15 15:29:31 UTC,2,1.06,-73.972831726074219,40.752780914306641,1,N,-73.987358093261719,40.755409240722656,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8
1,2016-06-15 15:00:05 UTC,2016-06-15 15:15:54 UTC,2,1.1,-73.9894027709961,40.748111724853516,1,N,-73.975395202636719,40.754753112792969,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55
2,2016-06-15 15:00:05 UTC,2016-06-15 15:13:32 UTC,1,1.13,-73.988662719726562,40.736991882324219,1,N,-73.988388061523438,40.748600006103516,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
2,2016-06-15 15:00:05 UTC,2016-06-15 15:25:52 UTC,1,2.45,-74.0051040649414,40.718746185302734,1,N,-73.991058349609375,40.750190734863281,1,17.0,0.0,0.5,0.0,0.0,0.3,17.8
2,2016-06-15 15:00:05 UTC,2016-06-15 15:15:48 UTC,1,1.2,-73.964019775390625,40.771148681640625,1,N,-73.975021362304688,40.755390167236328,1,11.0,0.0,0.5,1.0,0.0,0.3,12.8
2,2016-06-15 15:00:06 UTC,2016-06-15 15:04:30 UTC,6,0.47,-73.9869384765625,40.739719390869141,1,N,-73.982093811035156,40.744110107421875,1,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1,2016-06-15 15:00:06 UTC,2016-06-15 15:23:21 UTC,1,1.4,-73.992073059082031,40.743793487548828,1,N,-73.9760513305664,40.753643035888672,1,14.0,0.0,0.5,2.95,0.0,0.3,17.75
2,2016-06-15 15:00:06 UTC,2016-06-15 15:18:25 UTC,1,1.4,-73.975479125976562,40.765251159667969,1,N,-73.974861145019531,40.751228332519531,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
2,2016-06-15 15:00:06 UTC,2016-06-15 15:11:11 UTC,1,1.62,-73.957763671875,40.785148620605469,1,N,-73.967857360839844,40.784820556640625,1,9.0,0.0,0.5,2.45,0.0,0.3,12.25
2,2016-06-15 15:00:06 UTC,2016-06-15 15:07:18 UTC,1,0.66,-73.973922729492188,40.7570915222168,1,N,-73.973297119140625,40.750331878662109,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
