vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2016-06-15 17:30:00 UTC,2016-06-15 17:31:54 UTC,2,0.2,-74.004081726074219,40.731605529785156,1,N,-74.005279541015625,40.728778839111328,2,3.5,1.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-15 17:30:00 UTC,2016-06-15 17:59:35 UTC,1,4.82,-74.000076293945312,40.71783447265625,1,N,-73.942512512207031,40.685638427734375,1,21.5,1.0,0.5,5.82,0.0,0.3,29.12
2,2016-06-15 17:30:00 UTC,2016-06-15 17:43:16 UTC,2,1.97,-73.982612609863281,40.767292022705078,1,N,-73.955825805664062,40.767749786376953,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
1,2016-06-15 17:30:00 UTC,2016-06-15 17:56:33 UTC,1,2.0,-73.951347351074219,40.778636932373047,1,N,-73.973068237304688,40.761192321777344,1,16.5,1.0,0.5,3.65,0.0,0.3,21.95
1,2016-06-15 17:30:00 UTC,2016-06-15 18:13:22 UTC,1,9.5,-73.8707275390625,40.773605346679688,1,N,-73.793937683105469,40.667243957519531,2,32.0,1.0,0.5,0.0,0.0,0.3,33.8
2,2016-06-15 17:30:00 UTC,2016-06-15 17:42:15 UTC,1,0.35,-73.978790283203125,40.762138366699219,1,N,-73.975372314453125,40.761631011962891,1,8.5,1.0,0.5,2.06,0.0,0.3,12.36
2,2016-06-15 17:30:01 UTC,2016-06-15 18:02:13 UTC,1,3.33,-73.992599487304688,40.7374267578125,1,N,-73.96075439453125,40.768123626708984,1,20.5,1.0,0.5,1.78,0.0,0.3,24.08
1,2016-06-15 17:30:01 UTC,2016-06-15 17:43:51 UTC,1,1.8,-73.9434814453125,40.77667236328125,1,N,-73.9651107788086,40.766685485839844,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3
2,2016-06-15 17:30:01 UTC,2016-06-15 17:34:04 UTC,5,0.69,-73.965103149414062,40.759750366210938,1,N,-73.968452453613281,40.751541137695312,1,5.0,1.0,0.5,1.7,0.0,0.3,8.5
1,2016-06-15 17:30:01 UTC,2016-06-15 17:33:53 UTC,1,0.6,-73.966567993164062,40.767242431640625,1,N,-73.962196350097656,40.77459716796875,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 17:30:01 UTC,2016-06-15 17:54:12 UTC,1,1.5,-73.974571228027344,40.763565063476562,1,N,-73.991294860839844,40.750160217285156,2,15.0,1.0,0.5,0.0,0.0,0.3,16.8
2,2016-06-15 17:30:01 UTC,2016-06-15 17:42:38 UTC,6,1.43,-73.961631774902344,40.771152496337891,1,N,-73.981552124023438,40.770523071289062,1,9.5,1.0,0.5,1.0,0.0,0.3,12.3
1,2016-06-15 17:30:01 UTC,2016-06-15 17:42:20 UTC,1,1.7,-73.992385864257812,40.751186370849609,1,N,-73.996078491210938,40.745182037353516,1,10.0,1.0,0.5,2.35,0.0,0.3,14.15
1,2016-06-15 17:30:01 UTC,2016-06-15 17:35:50 UTC,2,1.0,-73.993934631347656,40.764087677001953,1,N,-73.982460021972656,40.769107818603516,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35
2,2016-06-15 17:30:01 UTC,2016-06-15 18:16:50 UTC,1,9.78,-73.97137451171875,40.765323638916016,1,N,-73.862144470214844,40.768638610839844,1,36.0,1.0,0.5,7.56,0.0,0.3,45.36
1,2016-06-15 17:30:02 UTC,2016-06-15 17:37:12 UTC,3,0.6,-73.974075317382812,40.753791809082031,1,N,-73.980354309082031,40.745952606201172,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
1,2016-06-15 17:30:02 UTC,2016-06-15 18:16:17 UTC,1,5.3,-73.972404479980469,40.749252319335938,1,N,-73.963912963867188,40.807964324951172,1,29.5,1.0,0.5,6.25,0.0,0.3,37.55
2,2016-06-15 17:30:02 UTC,2016-06-15 18:02:00 UTC,1,6.62,-74.01202392578125,40.701370239257812,1,N,-73.955818176269531,40.771873474121094,1,24.5,1.0,0.5,7.89,0.0,0.3,34.19
1,2016-06-15 17:30:02 UTC,2016-06-15 17:40:43 UTC,1,1.8,-73.980606079101562,40.745052337646484,1,N,-74.001800537109375,40.736446380615234,1,9.0,1.0,0.5,2.7,0.0,0.3,13.5
1,2016-06-15 17:30:03 UTC,2016-06-15 17:49:08 UTC,1,1.8,-73.983596801757812,40.744121551513672,1,N,-73.963302612304688,40.758098602294922,1,13.0,1.0,0.5,3.7,0.0,0.3,18.5
1,2016-06-15 17:30:03 UTC,2016-06-15 17:37:35 UTC,1,1.2,-73.993316650390625,40.722091674804688,1,N,-73.982772827148438,40.736232757568359,1,7.0,1.0,0.5,1.75,0.0,0.3,10.55
2,2016-06-15 17:30:03 UTC,2016-06-15 17:38:25 UTC,1,1.42,-74.003448486328125,40.727241516113281,1,N,-73.991630554199219,40.745811462402344,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
1,2016-06-15 17:30:03 UTC,2016-06-15 17:48:28 UTC,1,1.7,-73.968177795410156,40.762554168701172,1,N,-73.987701416015625,40.7507438659668,1,12.0,1.0,0.5,1.5,0.0,0.3,15.3
1,2016-06-15 17:30:03 UTC,2016-06-15 17:33:51 UTC,1,0.6,-73.989021301269531,40.777496337890625,1,N,-73.982650756835938,40.779018402099609,1,4.5,1.0,0.5,1.7,0.0,0.3,8.0
1,2016-06-15 17:30:04 UTC,2016-06-15 17:40:29 UTC,1,1.2,-73.981735229492188,40.768600463867188,1,N,-73.979736328125,40.7840461730957,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3
2,2016-06-15 17:30:04 UTC,2016-06-15 19:10:16 UTC,6,23.06,-73.7821273803711,40.644691467285156,2,N,-73.98272705078125,40.767139434814453,2,52.0,4.5,0.5,0.0,5.54,0.3,62.84
2,2016-06-15 17:30:04 UTC,2016-06-15 17:50:13 UTC,1,1.12,-73.98297119140625,40.762741088867188,1,N,-73.969970703125,40.753089904785156,1,12.5,1.0,0.5,2.86,0.0,0.3,17.16
