vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 20:00:00 UTC,2016-06-15 20:10:33 UTC,1,1.2,-73.976898193359375,40.775138854980469,1,N,-73.970588684082031,40.763778686523438,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
1,2016-06-15 20:00:00 UTC,2016-06-15 20:22:56 UTC,1,2.6,-73.992477416992188,40.721183776855469,1,N,-73.994735717773438,40.750408172607422,2,16.0,1.0,0.5,0.0,0.0,0.3,17.8
2,2016-06-15 20:00:00 UTC,2016-06-15 20:05:50 UTC,5,0.51,-73.973129272460938,40.75567626953125,1,N,-73.978118896484375,40.757640838623047,1,5.5,1.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 20:00:01 UTC,2016-06-15 20:04:59 UTC,1,0.6,-73.981407165527344,40.778907775878906,1,N,-73.976036071777344,40.786361694335938,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3
2,2016-06-15 20:00:01 UTC,2016-06-15 20:09:31 UTC,1,1.11,-73.95404052734375,40.766403198242188,1,N,-73.9677963256836,40.7628288269043,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-06-15 20:00:01 UTC,2016-06-15 20:10:33 UTC,1,1.8,-73.977790832519531,40.763626098632812,1,N,-73.983123779296875,40.781436920166016,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
2,2016-06-15 20:00:02 UTC,2016-06-15 20:13:01 UTC,5,0.84,-73.98712158203125,40.756000518798828,1,N,-73.9986572265625,40.761058807373047,1,9.5,1.0,0.5,1.0,0.0,0.3,12.3
2,2016-06-15 20:00:02 UTC,2016-06-15 20:08:00 UTC,6,0.74,-73.986862182617188,40.758041381835938,1,N,-73.995712280273438,40.764236450195312,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36
2,2016-06-15 20:00:02 UTC,2016-06-15 20:23:28 UTC,1,4.09,-74.006088256835938,40.750118255615234,1,N,-74.006088256835938,40.750118255615234,1,17.5,1.0,0.5,3.0,0.0,0.3,22.3
1,2016-06-15 20:00:02 UTC,2016-06-15 20:09:15 UTC,1,1.4,-73.964881896972656,40.806804656982422,1,N,-73.969619750976562,40.790023803710938,1,8.0,1.0,0.5,2.45,0.0,0.3,12.25
2,2016-06-15 20:00:02 UTC,2016-06-15 20:06:32 UTC,2,0.57,-73.989631652832031,40.7231559753418,1,N,-73.98974609375,40.717983245849609,1,6.0,1.0,0.5,1.0,0.0,0.3,8.8
2,2016-06-15 20:00:02 UTC,2016-06-15 20:15:21 UTC,2,3.4,-73.984771728515625,40.72882080078125,1,N,-74.0057373046875,40.707801818847656,1,14.0,0.5,0.5,1.5,0.0,0.3,16.8
1,2016-06-15 20:00:03 UTC,2016-06-15 20:06:00 UTC,1,0.7,-73.983367919921875,40.7676887512207,1,N,-73.988677978515625,40.763233184814453,1,5.5,0.5,0.5,1.7,0.0,0.3,8.5
2,2016-06-15 20:00:03 UTC,2016-06-15 20:05:56 UTC,1,1.23,-73.953193664550781,40.785488128662109,1,N,-73.9625473022461,40.772190093994141,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3
1,2016-06-15 20:00:03 UTC,2016-06-15 20:05:01 UTC,1,1.0,-73.977165222167969,40.7519645690918,1,N,-73.9747314453125,40.741958618164062,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
2,2016-06-15 20:00:03 UTC,2016-06-15 20:19:34 UTC,1,4.99,-73.975288391113281,40.790298461914062,1,N,-73.992721557617188,40.737190246582031,2,18.0,1.0,0.5,0.0,0.0,0.3,19.8
1,2016-06-15 20:00:04 UTC,2016-06-15 20:20:37 UTC,1,4.3,-73.995277404785156,40.742790222167969,1,N,-73.946304321289062,40.772945404052734,1,17.0,0.5,0.5,2.7,0.0,0.3,21.0
1,2016-06-15 20:00:04 UTC,2016-06-15 20:08:50 UTC,1,1.3,-73.982826232910156,40.771442413330078,1,N,-73.971603393554688,40.782123565673828,1,7.5,1.0,0.5,1.85,0.0,0.3,11.15
1,2016-06-15 20:00:04 UTC,2016-06-15 20:13:25 UTC,1,2.6,-73.973228454589844,40.755207061767578,1,N,-73.99444580078125,40.724143981933594,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35
2,2016-06-15 20:00:04 UTC,2016-06-15 20:08:10 UTC,1,2.5,-73.964637756347656,40.760108947753906,1,N,-73.9570083618164,40.745903015136719,1,9.5,0.5,0.5,1.2,0.0,0.3,12.0
2,2016-06-15 20:00:04 UTC,2016-06-15 20:09:33 UTC,1,0.93,-73.975502014160156,40.760848999023438,1,N,-73.984283447265625,40.749240875244141,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2016-06-15 20:00:04 UTC,2016-06-15 20:24:19 UTC,3,3.8,-74.015464782714844,40.713665008544922,1,N,-73.978164672851562,40.742263793945312,1,17.5,1.0,0.5,2.7,0.0,0.3,22.0
1,2016-06-15 20:00:04 UTC,2016-06-15 20:03:32 UTC,1,0.7,0.0,0.0,1,N,0.0,0.0,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95
2,2016-06-15 20:00:04 UTC,2016-06-15 20:07:39 UTC,1,1.3,-73.984458923339844,40.764488220214844,1,N,-73.972953796386719,40.780277252197266,1,7.5,1.0,0.5,1.86,0.0,0.3,11.16
2,2016-06-15 20:00:05 UTC,2016-06-15 20:04:00 UTC,1,0.53,-73.9947280883789,40.759769439697266,1,N,-74.002677917480469,40.760688781738281,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 20:00:05 UTC,2016-06-15 20:08:14 UTC,2,2.2,-73.994621276855469,40.719032287597656,1,N,-73.965873718261719,40.710521697998047,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3
1,2016-06-15 20:00:05 UTC,2016-06-15 20:05:28 UTC,1,0.7,-73.955451965332031,40.779247283935547,1,N,-73.944000244140625,40.776191711425781,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
2,2016-06-15 20:00:05 UTC,2016-06-15 20:10:57 UTC,1,3.83,-73.779190063476562,40.647663116455078,1,N,-73.783004760742188,40.667766571044922,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8
2,2016-06-15 20:00:05 UTC,2016-06-15 20:06:08 UTC,5,0.61,-73.9982681274414,40.733104705810547,1,N,-73.9890365600586,40.729091644287109,1,5.5,1.0,0.5,1.46,0.0,0.3,8.76
1,2016-06-15 20:00:05 UTC,2016-06-15 20:07:40 UTC,1,1.9,-73.9709701538086,40.7642936706543,1,N,-73.975021362304688,40.777618408203125,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
1,2016-06-15 20:00:05 UTC,2016-06-15 20:09:33 UTC,1,1.6,-73.986946105957031,40.761001586914062,1,N,-73.9789810180664,40.782264709472656,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
2,2016-06-15 20:00:05 UTC,2016-06-15 20:16:43 UTC,1,4.52,-73.999961853027344,40.738468170166016,1,N,-73.976982116699219,40.683269500732422,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36
1,2016-06-15 20:00:06 UTC,2016-06-15 20:11:52 UTC,1,2.1,-73.970466613769531,40.756317138671875,1,N,-73.960731506347656,40.781059265136719,1,10.0,1.0,0.5,2.35,0.0,0.3,14.15
1,2016-06-15 20:00:06 UTC,2016-06-15 20:03:04 UTC,4,0.3,-73.9730453491211,40.758293151855469,1,N,-73.975471496582031,40.754535675048828,1,4.0,0.5,0.5,1.55,0.0,0.3,6.85
1,2016-06-15 20:00:06 UTC,2016-06-15 20:07:54 UTC,1,1.6,-73.9917221069336,40.744209289550781,1,N,-74.006790161132812,40.730331420898438,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8
1,2016-06-15 20:00:06 UTC,2016-06-15 20:05:22 UTC,1,1.0,-73.9611587524414,40.7696647644043,1,N,-73.948043823242188,40.774681091308594,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3
1,2016-06-15 20:00:06 UTC,2016-06-15 20:08:00 UTC,2,1.5,-74.000350952148438,40.742393493652344,1,N,-73.995040893554688,40.7601318359375,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
2,2016-06-15 20:00:06 UTC,2016-06-15 20:09:26 UTC,2,2.24,-73.968231201171875,40.75537109375,1,N,-73.992568969726562,40.735618591308594,1,9.5,1.0,0.5,2.26,0.0,0.3,13.56
2,2016-06-15 20:00:06 UTC,2016-06-15 20:12:49 UTC,3,1.74,-73.983558654785156,40.765609741210938,1,N,-73.974693298339844,40.788158416748047,1,10.0,1.0,0.5,3.54,0.0,0.3,15.34
1,2016-06-15 20:00:07 UTC,2016-06-15 20:05:58 UTC,1,0.6,-73.953376770019531,40.782512664794922,1,N,-73.960739135742188,40.780654907226562,1,5.5,1.0,0.5,1.45,0.0,0.3,8.75
2,2016-06-15 20:00:07 UTC,2016-06-15 20:14:38 UTC,5,3.78,-73.992607116699219,40.746891021728516,1,N,-73.954750061035156,40.732879638671875,2,14.0,0.5,0.5,0.0,5.54,0.3,20.84
2,2016-06-15 20:00:07 UTC,2016-06-15 20:26:00 UTC,1,3.73,-73.953361511230469,40.785697937011719,1,N,-73.9892807006836,40.746475219726562,1,18.5,0.5,0.5,2.38,0.0,0.3,22.18
1,2016-06-15 20:00:07 UTC,2016-06-15 20:13:10 UTC,1,1.8,-74.007858276367188,40.751422882080078,1,N,-73.9908676147461,40.734664916992188,1,10.0,0.5,0.5,3.35,0.0,0.3,14.65
2,2016-06-15 20:00:07 UTC,2016-06-15 20:13:30 UTC,1,2.51,-73.989883422851562,40.740768432617188,1,N,-73.991203308105469,40.76544189453125,1,11.0,0.5,0.5,2.5,0.0,0.3,14.8
1,2016-06-15 20:00:07 UTC,2016-06-15 20:10:59 UTC,1,3.6,-73.98809814453125,40.718677520751953,1,N,-73.9770736694336,40.751682281494141,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3
