vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 10:30:00 UTC,2016-06-15 10:33:20 UTC,1,0.3,-73.968017578125,40.765510559082031,1,N,-73.965644836425781,40.769279479980469,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
1,2016-06-15 10:30:00 UTC,2016-06-15 10:42:34 UTC,1,1.0,-73.983352661132812,40.738765716552734,1,N,-73.997230529785156,40.739955902099609,1,9.0,0.0,0.5,2.45,0.0,0.3,12.25
1,2016-06-15 10:30:00 UTC,2016-06-15 10:50:47 UTC,1,2.6,-73.9721450805664,40.757297515869141,1,N,-73.977653503417969,40.779109954833984,2,14.5,0.0,0.5,0.0,0.0,0.3,15.3
2,2016-06-15 10:30:00 UTC,2016-06-15 11:01:49 UTC,1,5.57,-73.981025695800781,40.725261688232422,1,N,-73.956108093261719,40.784568786621094,1,24.0,0.0,0.5,4.96,0.0,0.3,29.76
2,2016-06-15 10:30:00 UTC,2016-06-15 10:34:47 UTC,1,0.6,-73.979698181152344,40.752231597900391,1,N,-73.982841491699219,40.745109558105469,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,2016-06-15 10:30:00 UTC,2016-06-15 10:53:56 UTC,6,6.45,-73.950859069824219,40.779251098632812,1,N,-73.991859436035156,40.729419708251953,1,23.0,0.0,0.5,3.0,0.0,0.3,26.8
1,2016-06-15 10:30:00 UTC,2016-06-15 10:38:18 UTC,1,1.2,-73.987823486328125,40.7552375793457,1,N,-73.987075805664062,40.74285888671875,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
2,2016-06-15 10:30:01 UTC,2016-06-15 11:02:00 UTC,6,2.79,-73.971519470214844,40.750755310058594,1,N,-74.007087707519531,40.742576599121094,1,20.0,0.0,0.5,4.16,0.0,0.3,24.96
1,2016-06-15 10:30:01 UTC,2016-06-15 10:43:46 UTC,2,1.5,-73.993934631347656,40.749885559082031,1,N,-73.979324340820312,40.765209197998047,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95
1,2016-06-15 10:30:01 UTC,2016-06-15 10:37:11 UTC,1,0.5,-73.958709716796875,40.775348663330078,1,N,-73.964836120605469,40.7727165222168,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
2,2016-06-15 10:30:01 UTC,2016-06-15 10:42:16 UTC,1,1.35,-73.960502624511719,40.775909423828125,1,N,-73.97357177734375,40.759498596191406,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
1,2016-06-15 10:30:01 UTC,2016-06-15 10:43:08 UTC,1,1.9,-73.98211669921875,40.73126220703125,1,N,-74.005668640136719,40.726142883300781,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55
