vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,p_lon,p_lat,rate_code,store_and_fwd_flag,d_lon,d_lat,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 06:30:48 UTC,2016-06-15 06:39:27 UTC,1,1.7,-73.99436950683594,40.75116729736328,1,N,-73.97358703613281,40.75851440429688,1,8.0,0.0,0.5,2.0,0.0,0.3,10.8
2,2016-06-15 06:30:51 UTC,2016-06-15 06:34:48 UTC,1,1.14,-73.99224090576173,40.75032043457031,1,N,-73.97698211669923,40.755470275878906,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2016-06-15 06:31:00 UTC,2016-06-15 06:35:37 UTC,1,0.7,-73.99459075927734,40.75056838989258,1,N,-73.9876937866211,40.75999069213867,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2016-06-15 06:31:04 UTC,2016-06-15 06:35:43 UTC,2,0.86,-73.99405670166014,40.751197814941406,1,N,-73.98725128173827,40.76197814941406,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
1,2016-06-15 06:31:04 UTC,2016-06-15 06:37:38 UTC,1,1.8,-73.99075317382812,40.740318298339844,1,N,-73.97991180419923,40.76116180419922,1,7.5,0.0,0.5,0.9,0.0,0.3,9.2
2,2016-06-15 06:31:05 UTC,2016-06-15 06:36:14 UTC,4,1.31,-73.99161529541014,40.749420166015625,1,N,-73.976318359375,40.75714111328125,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-06-15 06:31:06 UTC,2016-06-15 06:33:58 UTC,1,0.56,-73.98532104492188,40.7447509765625,1,N,-73.99237823486328,40.74945068359375,1,4.0,0.0,0.5,1.0,0.0,0.3,5.8
2,2016-06-15 06:31:08 UTC,2016-06-15 06:38:23 UTC,1,1.57,-73.99082946777344,40.74982833862305,1,N,-73.97269439697266,40.75886535644531,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
2,2016-06-15 06:31:09 UTC,2016-06-15 06:36:10 UTC,6,1.21,-73.99162292480467,40.74974060058594,1,N,-73.97799682617188,40.758949279785156,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
1,2016-06-15 06:31:12 UTC,2016-06-15 06:34:56 UTC,1,0.6,-73.98416137695312,40.7432861328125,1,N,-73.97531127929686,40.7414436340332,1,4.5,0.0,0.5,0.74,0.0,0.3,6.04
2,2016-06-15 06:31:12 UTC,2016-06-15 06:42:57 UTC,1,2.22,-73.97926330566406,40.74053955078125,1,N,-73.99712371826173,40.76042938232422,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
1,2016-06-15 06:31:12 UTC,2016-06-15 06:41:31 UTC,1,1.4,-73.98080444335938,40.74215316772461,1,N,-73.99994659423827,40.75255966186523,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2,2016-06-15 06:31:16 UTC,2016-06-15 06:35:55 UTC,5,1.21,-73.99244689941406,40.7589111328125,1,N,-73.99468994140625,40.74570083618164,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2016-06-15 06:31:16 UTC,2016-06-15 06:34:38 UTC,1,0.46,-73.97801971435547,40.74565887451172,1,N,-73.97508239746094,40.74155044555664,1,4.0,0.0,0.5,1.44,0.0,0.3,6.24
1,2016-06-15 06:31:17 UTC,2016-06-15 06:34:57 UTC,1,1.1,-73.97840118408203,40.75233459472656,1,N,-73.9893798828125,40.74197006225585,1,5.5,0.0,0.5,1.55,0.0,0.3,7.85
2,2016-06-15 06:31:18 UTC,2016-06-15 06:34:38 UTC,1,0.9,-73.98027038574219,40.7484245300293,1,N,-73.97167205810547,40.75830841064453,1,5.0,0.0,0.5,1.74,0.0,0.3,7.54
